KEY,R3,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,HOME TYPE,ZIP,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,LAST SALE DATE,FAVORITE,INTERESTED,IS SHORT SALE,LAST SALE PRICE
150014168,168,http://www.redfin.com/CA/El-Cajon/327-Avocado-Ave-92020/home/5596046,327 Avocado,El Cajon,CA,32.792137,-116.957237,Single Family Residential,92020,3,2,El Cajon,1084,10500,1955,6,Garage,7/8/2015,N,Y,FALSE,315000
150044967,967,http://www.redfin.com/CA/El-Cajon/497-Murray-Dr-92020/home/5592452,497 Murray Dr,El Cajon,CA,32.790677,-116.980766,Single Family Residential,92020,3,3,El Cajon,2540,,1958,2,Garage,11/10/2015,N,Y,FALSE,440000
150055170,170,http://www.redfin.com/CA/El-Cajon/422-S-Sunshine-Ave-92020/home/23017526,422 S Sunshine Ave,El Cajon,CA,32.791184,-116.965384,Single Family Residential,92020,3,2,El Cajon,1426,5114,1991,4,Garage,12/1/2015,N,Y,FALSE,402500
150042530,530,http://www.redfin.com/CA/El-Cajon/505-Prescott-Ave-92020/home/5597093,505 Prescott Ave,El Cajon,CA,32.789618,-116.959744,Single Family Residential,92020,3,2,El Cajon,1282,,1960,3,Garage,12/17/2015,N,Y,FALSE,320000
150047999,999,http://www.redfin.com/CA/El-Cajon/405-S-Orange-Ave-92020/home/5595600,405 S Orange,El Cajon,CA,32.791423,-116.96331,Single Family Residential,92020,4,3,El Cajon,2098,,1947,2,,9/21/2015,N,Y,FALSE,419000
150018981,981,http://www.redfin.com/CA/El-Cajon/333-Ione-Way-92020/home/75122141,333 Ione Way,El Cajon,CA,32.7949486,-116.9594727,Single Family Residential,92020,4,3,El Cajon,1877,4741,2015,2,Garage,9/14/2015,N,Y,FALSE,524163
150057740,740,http://www.redfin.com/CA/El-Cajon/203-Richfield-Ave-92020/home/5591339,203 Richfield Ave,San Diego,CA,32.793621,-116.972952,Single Family Residential,92020,2,1,El Cajon,830,8276,1947,6,Garage,12/30/2015,N,Y,FALSE,275000
150047270,270,http://www.redfin.com/CA/El-Cajon/823-E-Park-Ave-92020/home/5594868,823 Park Ave,El Cajon,CA,32.797937,-116.952421,Single Family Residential,92020,3,2,El Cajon,1892,6300,1957,4,Garage,10/27/2015,N,Y,FALSE,395000
150051557,557,http://www.redfin.com/CA/El-Cajon/327-Connecticut-Ave-92020/home/12153728,327 Connecticut Ave,El Cajon,CA,32.798011,-116.95952,Single Family Residential,92020,3,3,El Cajon,1780,,2006,2,Garage,12/11/2015,N,Y,FALSE,402500
140012541,541,http://www.redfin.com/CA/El-Cajon/864-Pamela-Ln-92020/home/5613462,864 Pamela Ln,El Cajon,CA,32.776706,-116.97373,Single Family Residential,92020,4,4,El Cajon,2881,33541,1980,1,Garage,5/7/2014,N,Y,FALSE,575000
